State,County,Area (sqmi)
Alabama,Autauga County,594.44
Alabama,Baldwin County,1589.78
Alabama,Barbour County,884.88
Alabama,Bibb County,622.58
Alabama,Blount County,644.78
Alabama,Bullock County,622.8
Alabama,Butler County,776.83
Alabama,Calhoun County,605.87
Alabama,Chambers County,596.53
Alabama,Cherokee County,553.7
Alabama,Chilton County,692.85
Alabama,Choctaw County,913.5
Alabama,Clarke County,1238.46
Alabama,Clay County,603.96
Alabama,Cleburne County,560.1
Alabama,Coffee County,678.97
Alabama,Colbert County,592.62
Alabama,Conecuh County,850.16
Alabama,Coosa County,650.93
Alabama,Covington County,1030.46
Alabama,Crenshaw County,608.84
Alabama,Cullman County,734.84
Alabama,Dale County,561.15
Alabama,Dallas County,978.69
Alabama,DeKalb County,777.09
Alabama,Elmore County,618.48
Alabama,Escambia County,945.08
Alabama,Etowah County,534.99
Alabama,Fayette County,627.66
Alabama,Franklin County,633.82
Alabama,Geneva County,574.41
Alabama,Greene County,647.11
Alabama,Hale County,643.94
Alabama,Henry County,561.75
Alabama,Houston County,579.82
Alabama,Jackson County,1077.87
Alabama,Jefferson County,1111.28
Alabama,Lamar County,604.85
Alabama,Lauderdale County,667.7
Alabama,Lawrence County,690.68
Alabama,Lee County,607.54
Alabama,Limestone County,559.94
Alabama,Lowndes County,715.91
Alabama,Macon County,608.89
Alabama,Madison County,801.59
Alabama,Marengo County,976.88
Alabama,Marion County,742.29
Alabama,Marshall County,565.84
Alabama,Mobile County,1229.44
Alabama,Monroe County,1025.67
Alabama,Montgomery County,784.25
Alabama,Morgan County,579.34
Alabama,Perry County,719.66
Alabama,Pickens County,881.41
Alabama,Pike County,672.09
Alabama,Randolph County,580.55
Alabama,Russell County,641.14
Alabama,St. Clair County,631.9
Alabama,Shelby County,784.93
Alabama,Sumter County,903.89
Alabama,Talladega County,736.78
Alabama,Tallapoosa County,716.52
Alabama,Tuscaloosa County,1321.75
Alabama,Walker County,791.19
Alabama,Washington County,1080.21
Alabama,Wilcox County,888.5
Alabama,Winston County,612.98
Alaska,Aleutians East Borough,6985.0
Alaska,Anchorage,1707.0
Alaska,Bristol Bay Borough,482.0
Alaska,Denali Borough,12637.0
Alaska,Fairbanks North Star Borough,7335.0
Alaska,Haines Borough,2345.0
Alaska,Juneau,2704.0
Alaska,Kenai Peninsula Borough,16023.0
Alaska,Ketchikan Gateway Borough,4857.0
Alaska,Kodiak Island Borough,6615.0
Alaska,Lake and Peninsula Borough,23905.0
Alaska,Matanuska-Susitna Borough,24715.0
Alaska,North Slope Borough,88824.0
Alaska,Northwest Arctic Borough,35664.0
Alaska,Petersburg Borough,2901.0
Alaska,Sitka,2870.0
Alaska,Skagway,434.0
Alaska,Unorganized Borough,295153.0
Alaska,Wrangell,2556.0
Alaska,Yakutat,7623.0
Arizona,Apache County,11218.0
Arizona,Cochise County,6219.0
Arizona,Coconino County,18661.0
Arizona,Gila County,4796.0
Arizona,Graham County,4641.0
Arizona,Greenlee County,1848.0
Arizona,La Paz County,4513.0
Arizona,Maricopa County,9224.0
Arizona,Mohave County,13470.0
Arizona,Navajo County,9959.0
Arizona,Pima County,9189.0
Arizona,Pinal County,5374.0
Arizona,Santa Cruz County,1238.0
Arizona,Yavapai County,8128.0
Arizona,Yuma County,5519.0
Arkansas,Arkansas County,1033.79
Arkansas,Ashley County,939.08
Arkansas,Baxter County,586.74
Arkansas,Benton County,884.86
Arkansas,Boone County,601.82
Arkansas,Bradley County,654.38
Arkansas,Calhoun County,632.54
Arkansas,Carroll County,638.81
Arkansas,Chicot County,690.88
Arkansas,Clark County,882.6
Arkansas,Clay County,641.42
Arkansas,Cleburne County,591.91
Arkansas,Cleveland County,598.8
Arkansas,Columbia County,766.86
