State	abrev	state_code
Alabama	Ala.	AL
Alaska	Alaska	AK
American_Samoa		AS
Arizona	Ariz.	AZ
Arkansas	Ark.	AR
California	Calif.	CA
Colorado	Colo.	CO
Connecticut	Conn.	CT
Delaware	Del.	DE
Dist._of_Columbia	D.C.	DC
Florida	Fla.	FL
Georgia	Ga.	GA
Guam	Guam	GU
Hawaii	Hawaii	HI
Idaho	Idaho	ID
Illinois	Ill.	IL
Indiana	Ind.	IN
Iowa	Iowa	IA
Kansas	Kans.	KS
Kentucky	Ky.	KY
Louisiana	La.	LA
Maine	Maine	ME
Maryland	Md.	MD
Marshall_Islands		MH
Massachusetts	Mass.	MA
Michigan	Mich.	MI
Micronesia		FM
Minnesota	Minn.	MN
Mississippi	Miss.	MS
Missouri	Mo.	MO
Montana	Mont.	MT
Nebraska	Nebr.	NE
Nevada	Nev.	NV
New_Hampshire	N.H.	NH
New_Jersey	N.J.	NJ
New_Mexico	N.M.	NM
New_York	N.Y.	NY
North_Carolina	N.C.	NC
North_Dakota	N.D.	ND
Northern_Marianas		MP
Ohio	Ohio	OH
Oklahoma	Okla.	OK
Oregon	Ore.	OR
Palau		PW
Pennsylvania	Pa.	PA
Puerto_Rico	P.R.	PR
Rhode_Island	R.I.	RI
South_Carolina	S.C.	SC
South_Dakota	S.D.	SD
Tennessee	Tenn.	TN
Texas	Tex.	TX
Utah	Utah	UT
Vermont	Vt.	VT
Virginia	Va.	VA
Virgin_Islands	V.I.	VI
Washington	Wash.	WA
West_Virginia	W.Va.	WV
Wisconsin	Wis.	WI
Wyoming	Wyo.	WY
