Unique_ID,date,county,state,fips,cases,deaths,Latitude,Longitude,Total_Hospital_Beds,Total_ICU_Beds,Available_Hospital_Beds,Potentially_Available_Hospital_Beds,Available_ICU_Beds,Potentially_Available_ICU_Beds,Adult_Population,Population_65+,Area_(sqmi),Population
Snohomish_Washington,2020-01-21,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Snohomish_Washington,2020-01-22,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Snohomish_Washington,2020-01-23,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Cook_Illinois,2020-01-24,Cook,Illinois,17031.0,1,0,41.84144849,-87.81658794,,,,,,,,,,
Snohomish_Washington,2020-01-24,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Orange_California,2020-01-25,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
Cook_Illinois,2020-01-25,Cook,Illinois,17031.0,1,0,41.84144849,-87.81658794,,,,,,,,,,
Snohomish_Washington,2020-01-25,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Maricopa_Arizona,2020-01-26,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
Los Angeles_California,2020-01-26,Los Angeles,California,6037.0,1,0,34.30828379,-118.22824109999999,"19,492","2,415","6,594","13,043",942.0,"1,679","7,874,162","1,268,093",,
Orange_California,2020-01-26,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
Cook_Illinois,2020-01-26,Cook,Illinois,17031.0,1,0,41.84144849,-87.81658794,,,,,,,,,,
Snohomish_Washington,2020-01-26,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Maricopa_Arizona,2020-01-27,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
Los Angeles_California,2020-01-27,Los Angeles,California,6037.0,1,0,34.30828379,-118.22824109999999,"19,492","2,415","6,594","13,043",942.0,"1,679","7,874,162","1,268,093",,
Orange_California,2020-01-27,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
Cook_Illinois,2020-01-27,Cook,Illinois,17031.0,1,0,41.84144849,-87.81658794,,,,,,,,,,
Snohomish_Washington,2020-01-27,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Maricopa_Arizona,2020-01-28,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
Los Angeles_California,2020-01-28,Los Angeles,California,6037.0,1,0,34.30828379,-118.22824109999999,"19,492","2,415","6,594","13,043",942.0,"1,679","7,874,162","1,268,093",,
Orange_California,2020-01-28,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
Cook_Illinois,2020-01-28,Cook,Illinois,17031.0,1,0,41.84144849,-87.81658794,,,,,,,,,,
Snohomish_Washington,2020-01-28,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Maricopa_Arizona,2020-01-29,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
Los Angeles_California,2020-01-29,Los Angeles,California,6037.0,1,0,34.30828379,-118.22824109999999,"19,492","2,415","6,594","13,043",942.0,"1,679","7,874,162","1,268,093",,
Orange_California,2020-01-29,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
Cook_Illinois,2020-01-29,Cook,Illinois,17031.0,1,0,41.84144849,-87.81658794,,,,,,,,,,
Snohomish_Washington,2020-01-29,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Maricopa_Arizona,2020-01-30,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
Los Angeles_California,2020-01-30,Los Angeles,California,6037.0,1,0,34.30828379,-118.22824109999999,"19,492","2,415","6,594","13,043",942.0,"1,679","7,874,162","1,268,093",,
Orange_California,2020-01-30,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
Cook_Illinois,2020-01-30,Cook,Illinois,17031.0,2,0,41.84144849,-87.81658794,,,,,,,,,,
Snohomish_Washington,2020-01-30,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Maricopa_Arizona,2020-01-31,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
Los Angeles_California,2020-01-31,Los Angeles,California,6037.0,1,0,34.30828379,-118.22824109999999,"19,492","2,415","6,594","13,043",942.0,"1,679","7,874,162","1,268,093",,
Orange_California,2020-01-31,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
Santa Clara_California,2020-01-31,Santa Clara,California,6085.0,1,0,37.23104908,-121.6970462,,,,,,,,,,
Cook_Illinois,2020-01-31,Cook,Illinois,17031.0,2,0,41.84144849,-87.81658794,,,,,,,,,,
Snohomish_Washington,2020-01-31,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Maricopa_Arizona,2020-02-01,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
Los Angeles_California,2020-02-01,Los Angeles,California,6037.0,1,0,34.30828379,-118.22824109999999,"19,492","2,415","6,594","13,043",942.0,"1,679","7,874,162","1,268,093",,
Orange_California,2020-02-01,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
Santa Clara_California,2020-02-01,Santa Clara,California,6085.0,1,0,37.23104908,-121.6970462,,,,,,,,,,
Cook_Illinois,2020-02-01,Cook,Illinois,17031.0,2,0,41.84144849,-87.81658794,,,,,,,,,,
Suffolk_Massachusetts,2020-02-01,Suffolk,Massachusetts,25025.0,1,0,42.327951399999996,-71.07850442,,,,,,,,,,
Snohomish_Washington,2020-02-01,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Maricopa_Arizona,2020-02-02,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
Los Angeles_California,2020-02-02,Los Angeles,California,6037.0,1,0,34.30828379,-118.22824109999999,"19,492","2,415","6,594","13,043",942.0,"1,679","7,874,162","1,268,093",,
Orange_California,2020-02-02,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
San Francisco_California,2020-02-02,San Francisco,California,6075.0,2,0,37.75215114,-122.43856720000001,"3,776",439,"1,139","2,458",203.0,321,"1,272,753","236,390",47.0,
Santa Clara_California,2020-02-02,Santa Clara,California,6085.0,2,0,37.23104908,-121.6970462,,,,,,,,,,
Cook_Illinois,2020-02-02,Cook,Illinois,17031.0,2,0,41.84144849,-87.81658794,,,,,,,,,,
Suffolk_Massachusetts,2020-02-02,Suffolk,Massachusetts,25025.0,1,0,42.327951399999996,-71.07850442,,,,,,,,,,
Snohomish_Washington,2020-02-02,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Maricopa_Arizona,2020-02-03,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
Los Angeles_California,2020-02-03,Los Angeles,California,6037.0,1,0,34.30828379,-118.22824109999999,"19,492","2,415","6,594","13,043",942.0,"1,679","7,874,162","1,268,093",,
Orange_California,2020-02-03,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
San Francisco_California,2020-02-03,San Francisco,California,6075.0,2,0,37.75215114,-122.43856720000001,"3,776",439,"1,139","2,458",203.0,321,"1,272,753","236,390",47.0,
Santa Clara_California,2020-02-03,Santa Clara,California,6085.0,2,0,37.23104908,-121.6970462,,,,,,,,,,
Cook_Illinois,2020-02-03,Cook,Illinois,17031.0,2,0,41.84144849,-87.81658794,,,,,,,,,,
Suffolk_Massachusetts,2020-02-03,Suffolk,Massachusetts,25025.0,1,0,42.327951399999996,-71.07850442,,,,,,,,,,
Snohomish_Washington,2020-02-03,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Maricopa_Arizona,2020-02-04,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
Los Angeles_California,2020-02-04,Los Angeles,California,6037.0,1,0,34.30828379,-118.22824109999999,"19,492","2,415","6,594","13,043",942.0,"1,679","7,874,162","1,268,093",,
Orange_California,2020-02-04,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
San Francisco_California,2020-02-04,San Francisco,California,6075.0,2,0,37.75215114,-122.43856720000001,"3,776",439,"1,139","2,458",203.0,321,"1,272,753","236,390",47.0,
Santa Clara_California,2020-02-04,Santa Clara,California,6085.0,2,0,37.23104908,-121.6970462,,,,,,,,,,
Cook_Illinois,2020-02-04,Cook,Illinois,17031.0,2,0,41.84144849,-87.81658794,,,,,,,,,,
Suffolk_Massachusetts,2020-02-04,Suffolk,Massachusetts,25025.0,1,0,42.327951399999996,-71.07850442,,,,,,,,,,
Snohomish_Washington,2020-02-04,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Maricopa_Arizona,2020-02-05,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
Los Angeles_California,2020-02-05,Los Angeles,California,6037.0,1,0,34.30828379,-118.22824109999999,"19,492","2,415","6,594","13,043",942.0,"1,679","7,874,162","1,268,093",,
Orange_California,2020-02-05,Orange,California,6059.0,1,0,33.70147516,-117.76459979999998,,,,,,,,,,
San Francisco_California,2020-02-05,San Francisco,California,6075.0,2,0,37.75215114,-122.43856720000001,"3,776",439,"1,139","2,458",203.0,321,"1,272,753","236,390",47.0,
Santa Clara_California,2020-02-05,Santa Clara,California,6085.0,2,0,37.23104908,-121.6970462,,,,,,,,,,
Cook_Illinois,2020-02-05,Cook,Illinois,17031.0,2,0,41.84144849,-87.81658794,,,,,,,,,,
Suffolk_Massachusetts,2020-02-05,Suffolk,Massachusetts,25025.0,1,0,42.327951399999996,-71.07850442,,,,,,,,,,
Snohomish_Washington,2020-02-05,Snohomish,Washington,53061.0,1,0,48.04615983,-121.7170703,,,,,,,,,,
Dane_Wisconsin,2020-02-05,Dane,Wisconsin,55025.0,1,0,43.06601594,-89.41733797,,,,,,,,,,
Maricopa_Arizona,2020-02-06,Maricopa,Arizona,4013.0,1,0,33.34835867,-112.49181540000001,,,,,,,,,,
