Census,2019,County,State
54571,55869,Autauga County,Alabama
182265,223234,Baldwin County,Alabama
27457,24686,Barbour County,Alabama
22915,22394,Bibb County,Alabama
57322,57826,Blount County,Alabama
10914,10101,Bullock County,Alabama
20947,19448,Butler County,Alabama
118572,113605,Calhoun County,Alabama
34215,33254,Chambers County,Alabama
25989,26196,Cherokee County,Alabama
43643,44428,Chilton County,Alabama
13859,12589,Choctaw County,Alabama
25833,23622,Clarke County,Alabama
13932,13235,Clay County,Alabama
14972,14910,Cleburne County,Alabama
49948,52342,Coffee County,Alabama
54428,55241,Colbert County,Alabama
13228,12067,Conecuh County,Alabama
11539,10663,Coosa County,Alabama
37765,37049,Covington County,Alabama
13906,13772,Crenshaw County,Alabama
80406,83768,Cullman County,Alabama
50251,49172,Dale County,Alabama
43820,37196,Dallas County,Alabama
71109,71513,DeKalb County,Alabama
79303,81209,Elmore County,Alabama
38319,36633,Escambia County,Alabama
104430,102268,Etowah County,Alabama
17241,16302,Fayette County,Alabama
31704,31362,Franklin County,Alabama
26790,26271,Geneva County,Alabama
9045,8111,Greene County,Alabama
15760,14651,Hale County,Alabama
17302,17205,Henry County,Alabama
101547,105882,Houston County,Alabama
53227,51626,Jackson County,Alabama
658466,658573,Jefferson County,Alabama
14564,13805,Lamar County,Alabama
92709,92729,Lauderdale County,Alabama
34339,32924,Lawrence County,Alabama
140247,164542,Lee County,Alabama
82782,98915,Limestone County,Alabama
11299,9726,Lowndes County,Alabama
21452,18068,Macon County,Alabama
334811,372909,Madison County,Alabama
21027,18863,Marengo County,Alabama
30776,29709,Marion County,Alabama
93019,96774,Marshall County,Alabama
412992,413210,Mobile County,Alabama
23068,20733,Monroe County,Alabama
229363,226486,Montgomery County,Alabama
119490,119679,Morgan County,Alabama
10591,8923,Perry County,Alabama
19746,19930,Pickens County,Alabama
32899,33114,Pike County,Alabama
22913,22722,Randolph County,Alabama
52947,57961,Russell County,Alabama
83593,89512,St Clair County,Alabama
195085,217702,Shelby County,Alabama
13763,12427,Sumter County,Alabama
82291,79978,Talladega County,Alabama
41616,40367,Tallapoosa County,Alabama
194656,209355,Tuscaloosa County,Alabama
67023,63521,Walker County,Alabama
17581,16326,Washington County,Alabama
11670,10373,Wilcox County,Alabama
24484,23629,Winston County,Alabama
3141,3337,Aleutians East Borough,Alaska
5561,5634,Aleutians West Census Area,Alaska
291826,288000,Anchorage Municipality,Alaska
17013,18386,Bethel Census Area,Alaska
997,836,Bristol Bay Borough,Alaska
1826,2097,Denali Borough,Alaska
4847,4916,Dillingham Census Area,Alaska
97581,96849,Fairbanks North Star Borough,Alaska
2508,2530,Haines Borough,Alaska
2150,2148,Hoonah-Angoon Census Area,Alaska
31275,31974,Juneau City and Borough,Alaska
55400,58708,Kenai Peninsula Borough,Alaska
13477,13901,Ketchikan Gateway Borough,Alaska
13592,12998,Kodiak Island Borough,Alaska
7459,8314,Kusilvak Census Area,Alaska
1631,1592,Lake and Peninsula Borough,Alaska
88995,108317,Matanuska-Susitna Borough,Alaska
9492,10004,Nome Census Area,Alaska
9430,9832,North Slope Borough,Alaska
7523,7621,Northwest Arctic Borough,Alaska
3815,3266,Petersburg Borough,Alaska
5559,6203,Prince of Wales-Hyder Census Area,Alaska
8881,8493,Sitka City and Borough,Alaska
968,1183,Skagway Municipality,Alaska
7029,6893,Southeast Fairbanks Census Area,Alaska
9636,9202,Valdez-Cordova Census Area,Alaska
2369,2502,Wrangell City and Borough,Alaska
662,579,Yakutat City and Borough,Alaska
5588,5230,Yukon-Koyukuk Census Area,Alaska
71518,71887,Apache County,Arizona
131346,125922,Cochise County,Arizona
134421,143476,Coconino County,Arizona
53597,54018,Gila County,Arizona
37220,38837,Graham County,Arizona
8437,9498,Greenlee County,Arizona
20489,21108,La Paz County,Arizona
3817117,4485414,Maricopa County,Arizona
200186,212181,Mohave County,Arizona
107449,110924,Navajo County,Arizona
980263,1047279,Pima County,Arizona
375770,462789,Pinal County,Arizona
47420,46498,Santa Cruz County,Arizona
211033,235099,Yavapai County,Arizona
195751,213787,Yuma County,Arizona
19019,17486,Arkansas County,Arkansas
21853,19657,Ashley County,Arkansas
41513,41932,Baxter County,Arkansas
221339,279141,Benton County,Arkansas
36903,37432,Boone County,Arkansas
11508,10763,Bradley County,Arkansas
5368,5189,Calhoun County,Arkansas
27446,28380,Carroll County,Arkansas
11800,10118,Chicot County,Arkansas
22995,22320,Clark County,Arkansas
16083,14551,Clay County,Arkansas
25970,24919,Cleburne County,Arkansas
8689,7956,Cleveland County,Arkansas
24552,23457,Columbia County,Arkansas
21273,20846,Conway County,Arkansas
96443,110332,Craighead County,Arkansas
61948,63257,Crawford County,Arkansas
50902,47955,Crittenden County,Arkansas
17870,16419,Cross County,Arkansas
8116,7009,Dallas County,Arkansas
13008,11361,Desha County,Arkansas
18509,18219,Drew County,Arkansas
113237,126007,Faulkner County,Arkansas
18125,17715,Franklin County,Arkansas
12245,12477,Fulton County,Arkansas
96024,99386,Garland County,Arkansas
17853,18265,Grant County,Arkansas
42090,45325,Greene County,Arkansas
22609,21532,Hempstead County,Arkansas
32923,33771,Hot Spring County,Arkansas
13789,13202,Howard County,Arkansas
36647,37825,Independence County,Arkansas
13696,13629,Izard County,Arkansas
17997,16719,Jackson County,Arkansas
77435,66824,Jefferson County,Arkansas
25540,26578,Johnson County,Arkansas
7645,6624,Lafayette County,Arkansas
17415,16406,Lawrence County,Arkansas
10424,8857,Lee County,Arkansas
14134,13024,Lincoln County,Arkansas
13171,12259,Little River County,Arkansas
22353,21466,Logan County,Arkansas
68356,73309,Lonoke County,Arkansas
15717,16576,Madison County,Arkansas
16653,16694,Marion County,Arkansas
43462,43257,Miller County,Arkansas
46480,40651,Mississippi County,Arkansas
8149,6701,Monroe County,Arkansas
9487,8986,Montgomery County,Arkansas
8997,8252,Nevada County,Arkansas
8330,7753,Newton County,Arkansas
26120,23382,Ouachita County,Arkansas
10445,10455,Perry County,Arkansas
21757,17782,Phillips County,Arkansas
11291,10718,Pike County,Arkansas
24583,23528,Poinsett County,Arkansas
20662,19964,Polk County,Arkansas
61754,64072,Pope County,Arkansas
8715,8062,Prairie County,Arkansas
382748,391911,Pulaski County,Arkansas
17969,17958,Randolph County,Arkansas
28258,24994,St Francis County,Arkansas
107118,122437,Saline County,Arkansas
11233,10281,Scott County,Arkansas
8195,7881,Searcy County,Arkansas
125744,127827,Sebastian County,Arkansas
17058,17007,Sevier County,Arkansas
17264,17442,Sharp County,Arkansas
12394,12506,Stone County,Arkansas
41639,38682,Union County,Arkansas
17295,16545,Van Buren County,Arkansas
203065,239187,Washington County,Arkansas
77076,78753,White County,Arkansas
7260,6320,Woodruff County,Arkansas
22185,21341,Yell County,Arkansas
1510271,1671329,Alameda County,California
1175,1129,Alpine County,California
38091,39752,Amador County,California
220000,219186,Butte County,California
45578,45905,Calaveras County,California
21419,21547,Colusa County,California
1049025,1153526,Contra Costa County,California
28610,27812,Del Norte County,California
181058,192843,El Dorado County,California
930450,999101,Fresno County,California
28122,28393,Glenn County,California
134623,135558,Humboldt County,California
174528,181215,Imperial County,California
18546,18039,Inyo County,California
839631,900202,Kern County,California
152982,152940,Kings County,California
64665,64386,Lake County,California
34895,30573,Lassen County,California
9818605,10039107,Los Angeles County,California
150865,157327,Madera County,California
252409,258826,Marin County,California
18251,17203,Mariposa County,California
87841,86749,Mendocino County,California
255793,277680,Merced County,California
9686,8841,Modoc County,California
14202,14444,Mono County,California
415057,434061,Monterey County,California
136484,137744,Napa County,California
98764,99755,Nevada County,California
3010232,3175692,Orange County,California
348432,398329,Placer County,California
20007,18807,Plumas County,California
2189641,2470546,Riverside County,California
1418788,1552058,Sacramento County,California
55269,62808,San Benito County,California
2035210,2180085,San Bernardino County,California
3095313,3338330,San Diego County,California
805235,881549,San Francisco County,California
685306,762148,San Joaquin County,California
269637,283111,San Luis Obispo County,California
718451,766573,San Mateo County,California
423895,446499,Santa Barbara County,California
1781642,1927852,Santa Clara County,California
262382,273213,Santa Cruz County,California
177223,180080,Shasta County,California
3240,3005,Sierra County,California
44900,43539,Siskiyou County,California
413344,447643,Solano County,California
483878,494336,Sonoma County,California
514453,550660,Stanislaus County,California
94737,96971,Sutter County,California
63463,65084,Tehama County,California
13786,12285,Trinity County,California
442179,466195,Tulare County,California
55365,54478,Tuolumne County,California
823318,846006,Ventura County,California
200849,220500,Yolo County,California
72155,78668,Yuba County,California
441603,517421,Adams County,Colorado
15445,16233,Alamosa County,Colorado
572003,656590,Arapahoe County,Colorado
12084,14029,Archuleta County,Colorado
3788,3581,Baca County,Colorado
6499,5577,Bent County,Colorado
294567,326196,Boulder County,Colorado
55889,70465,Broomfield County,Colorado
17809,20356,Chaffee County,Colorado
1836,1831,Cheyenne County,Colorado
9088,9700,Clear Creek County,Colorado
8256,8205,Conejos County,Colorado
3524,3887,Costilla County,Colorado
5823,6061,Crowley County,Colorado
4255,5068,Custer County,Colorado
30952,31162,Delta County,Colorado
600158,727211,Denver County,Colorado
2064,2055,Dolores County,Colorado
285465,351154,Douglas County,Colorado
52197,55127,Eagle County,Colorado
23086,26729,Elbert County,Colorado
622263,720403,El Paso County,Colorado
46824,47839,Fremont County,Colorado
56389,60061,Garfield County,Colorado
5441,6243,Gilpin County,Colorado
14843,15734,Grand County,Colorado
15324,17462,Gunnison County,Colorado
843,820,Hinsdale County,Colorado
6711,6897,Huerfano County,Colorado
1394,1392,Jackson County,Colorado
534543,582881,Jefferson County,Colorado
1398,1406,Kiowa County,Colorado
8270,7097,Kit Carson County,Colorado
7310,8127,Lake County,Colorado
51334,56221,La Plata County,Colorado
299630,356899,Larimer County,Colorado
15507,14506,Las Animas County,Colorado
5467,5701,Lincoln County,Colorado
22709,22409,Logan County,Colorado
146723,154210,Mesa County,Colorado
712,769,Mineral County,Colorado
13795,13283,Moffat County,Colorado
25535,26183,Montezuma County,Colorado
41276,42758,Montrose County,Colorado
28159,29068,Morgan County,Colorado
18831,18278,Otero County,Colorado
4436,4952,Ouray County,Colorado
16206,18845,Park County,Colorado
4442,4265,Phillips County,Colorado
17148,17767,Pitkin County,Colorado
12551,12172,Prowers County,Colorado
159063,168424,Pueblo County,Colorado
6666,6324,Rio Blanco County,Colorado
11982,11267,Rio Grande County,Colorado
23509,25638,Routt County,Colorado
6108,6824,Saguache County,Colorado
699,728,San Juan County,Colorado
7359,8179,San Miguel County,Colorado
2379,2248,Sedgwick County,Colorado
27994,31011,Summit County,Colorado
23350,25388,Teller County,Colorado
4814,4908,Washington County,Colorado
252825,324492,Weld County,Colorado
10043,10019,Yuma County,Colorado
916829,943332,Fairfield County,Connecticut
894014,891720,Hartford County,Connecticut
189927,180333,Litchfield County,Connecticut
165676,162436,Middlesex County,Connecticut
862477,854757,New Haven County,Connecticut
274055,265206,New London County,Connecticut
152691,150721,Tolland County,Connecticut
118428,116782,Windham County,Connecticut
162310,180786,Kent County,Delaware
538479,558753,New Castle County,Delaware
197145,234225,Sussex County,Delaware
601723,705749,District of Columbia,District of Columbia
247336,269043,Alachua County,Florida
27115,29210,Baker County,Florida
168852,174705,Bay County,Florida
28520,28201,Bradford County,Florida
543376,601942,Brevard County,Florida
1748066,1952778,Broward County,Florida
14625,14105,Calhoun County,Florida
159978,188910,Charlotte County,Florida
141236,149657,Citrus County,Florida
190865,219252,Clay County,Florida
321520,384902,Collier County,Florida
67531,71686,Columbia County,Florida
34862,38001,DeSoto County,Florida
16422,16826,Dixie County,Florida
864263,957755,Duval County,Florida
297619,318316,Escambia County,Florida
95696,115081,Flagler County,Florida
11549,12125,Franklin County,Florida
46389,45660,Gadsden County,Florida
16939,18582,Gilchrist County,Florida
12884,13811,Glades County,Florida
15863,13639,Gulf County,Florida
14799,14428,Hamilton County,Florida
27731,26937,Hardee County,Florida
39140,42022,Hendry County,Florida
172778,193920,Hernando County,Florida
98786,106221,Highlands County,Florida
1229226,1471968,Hillsborough County,Florida
19927,19617,Holmes County,Florida
138028,159923,Indian River County,Florida
49746,46414,Jackson County,Florida
14761,14246,Jefferson County,Florida
8870,8422,Lafayette County,Florida
297052,367118,Lake County,Florida
618754,770577,Lee County,Florida
275487,293582,Leon County,Florida
40801,41503,Levy County,Florida
8365,8354,Liberty County,Florida
19224,18493,Madison County,Florida
322833,403253,Manatee County,Florida
331298,365579,Marion County,Florida
146318,161000,Martin County,Florida
2496435,2716940,Miami-Dade County,Florida
73090,74228,Monroe County,Florida
73314,88625,Nassau County,Florida
180822,210738,Okaloosa County,Florida
39996,42168,Okeechobee County,Florida
1145956,1393452,Orange County,Florida
268685,375751,Osceola County,Florida
1320134,1496770,Palm Beach County,Florida
464697,553947,Pasco County,Florida
916542,974996,Pinellas County,Florida
602095,724777,Polk County,Florida
74364,74521,Putnam County,Florida
190039,264672,St Johns County,Florida
277789,328297,St Lucie County,Florida
151372,184313,Santa Rosa County,Florida
379448,433742,Sarasota County,Florida
422718,471826,Seminole County,Florida
93420,132420,Sumter County,Florida
41551,44417,Suwannee County,Florida
22570,21569,Taylor County,Florida
15535,15237,Union County,Florida
494593,553284,Volusia County,Florida
30776,33739,Wakulla County,Florida
55043,74071,Walton County,Florida
24896,25473,Washington County,Florida
18236,18386,Appling County,Georgia
8375,8165,Atkinson County,Georgia
11096,11164,Bacon County,Georgia
3451,3038,Baker County,Georgia
45720,44890,Baldwin County,Georgia
18395,19234,Banks County,Georgia
69367,83240,Barrow County,Georgia
100157,107738,Bartow County,Georgia
17634,16700,Ben Hill County,Georgia
19286,19397,Berrien County,Georgia
155547,153159,Bibb County,Georgia
13063,12873,Bleckley County,Georgia
18411,19109,Brantley County,Georgia
16243,15457,Brooks County,Georgia
30233,39627,Bryan County,Georgia
70217,79608,Bulloch County,Georgia
23316,22383,Burke County,Georgia
23655,24936,Butts County,Georgia
6694,6189,Calhoun County,Georgia
50513,54666,Camden County,Georgia
10998,10803,Candler County,Georgia
110527,119992,Carroll County,Georgia
63942,67580,Catoosa County,Georgia
12171,13392,Charlton County,Georgia
265128,289430,Chatham County,Georgia
11267,10907,Chattahoochee County,Georgia
26015,24789,Chattooga County,Georgia
214346,258773,Cherokee County,Georgia
116714,128331,Clarke County,Georgia
3183,2834,Clay County,Georgia
259424,292256,Clayton County,Georgia
6798,6618,Clinch County,Georgia
688078,760141,Cobb County,Georgia
42356,43273,Coffee County,Georgia
45498,45600,Colquitt County,Georgia
124053,156714,Columbia County,Georgia
17212,17270,Cook County,Georgia
127317,148509,Coweta County,Georgia
12630,12404,Crawford County,Georgia
23439,22372,Crisp County,Georgia
16633,16116,Dade County,Georgia
22330,26108,Dawson County,Georgia
27842,26404,Decatur County,Georgia
691893,759297,DeKalb County,Georgia
21796,20605,Dodge County,Georgia
14918,13390,Dooly County,Georgia
94565,87956,Dougherty County,Georgia
132403,146343,Douglas County,Georgia
11008,10190,Early County,Georgia
4034,4006,Echols County,Georgia
52250,64296,Effingham County,Georgia
20166,19194,Elbert County,Georgia
22598,22646,Emanuel County,Georgia
11000,10654,Evans County,Georgia
23682,26188,Fannin County,Georgia
106567,114421,Fayette County,Georgia
96317,98498,Floyd County,Georgia
175511,244252,Forsyth County,Georgia
22084,23349,Franklin County,Georgia
920581,1063937,Fulton County,Georgia
28292,31369,Gilmer County,Georgia
3082,2971,Glascock County,Georgia
79626,85292,Glynn County,Georgia
55186,57963,Gordon County,Georgia
25011,24633,Grady County,Georgia
15994,18324,Greene County,Georgia
805321,936250,Gwinnett County,Georgia
43041,45328,Habersham County,Georgia
179684,204441,Hall County,Georgia
9429,8457,Hancock County,Georgia
28780,29792,Haralson County,Georgia
32024,35236,Harris County,Georgia
25213,26205,Hart County,Georgia
11834,11923,Heard County,Georgia
203922,234561,Henry County,Georgia
139900,157863,Houston County,Georgia
9538,9416,Irwin County,Georgia
60485,72977,Jackson County,Georgia
13900,14219,Jasper County,Georgia
15068,15115,Jeff Davis County,Georgia
16930,15362,Jefferson County,Georgia
8340,8676,Jenkins County,Georgia
9980,9643,Johnson County,Georgia
28669,28735,Jones County,Georgia
18317,19077,Lamar County,Georgia
10078,10423,Lanier County,Georgia
48434,47546,Laurens County,Georgia
28298,29992,Lee County,Georgia
63453,61435,Liberty County,Georgia
7996,7921,Lincoln County,Georgia
14464,19559,Long County,Georgia
109233,117406,Lowndes County,Georgia
29966,33610,Lumpkin County,Georgia
21875,21312,McDuffie County,Georgia
14333,14378,McIntosh County,Georgia
14740,12947,Macon County,Georgia
28120,29880,Madison County,Georgia
8742,8359,Marion County,Georgia
21992,21167,Meriwether County,Georgia
6125,5718,Miller County,Georgia
23498,21863,Mitchell County,Georgia
26424,27578,Monroe County,Georgia
9123,9172,Montgomery County,Georgia
17868,19276,Morgan County,Georgia
39628,40096,Murray County,Georgia
189885,195769,Muscogee County,Georgia
99958,111744,Newton County,Georgia
32808,40280,Oconee County,Georgia
14899,15259,Oglethorpe County,Georgia
142324,168667,Paulding County,Georgia
27695,27546,Peach County,Georgia
29431,32591,Pickens County,Georgia
18758,19465,Pierce County,Georgia
17869,18962,Pike County,Georgia
41475,42613,Polk County,Georgia
12010,11137,Pulaski County,Georgia
21218,22119,Putnam County,Georgia
2513,2299,Quitman County,Georgia
16276,17137,Rabun County,Georgia
7719,6778,Randolph County,Georgia
200549,202518,Richmond County,Georgia
85215,90896,Rockdale County,Georgia
5010,5257,Schley County,Georgia
14593,13966,Screven County,Georgia
8729,8090,Seminole County,Georgia
64073,66703,Spalding County,Georgia
26175,25925,Stephens County,Georgia
6058,6621,Stewart County,Georgia
32819,29524,Sumter County,Georgia
6865,6195,Talbot County,Georgia
1717,1537,Taliaferro County,Georgia
25520,25286,Tattnall County,Georgia
8906,8020,Taylor County,Georgia
16500,15860,Telfair County,Georgia
9315,8531,Terrell County,Georgia
44720,44451,Thomas County,Georgia
40118,40644,Tift County,Georgia
27223,26830,Toombs County,Georgia
10471,12037,Towns County,Georgia
6885,6901,Treutlen County,Georgia
67044,69922,Troup County,Georgia
8930,7985,Turner County,Georgia
9023,8120,Twiggs County,Georgia
21356,24511,Union County,Georgia
27153,26320,Upson County,Georgia
68756,69761,Walker County,Georgia
83768,94593,Walton County,Georgia
36312,35734,Ware County,Georgia
