,County,Retail_Recreation,Grocery_Pharmacy,Parks,Transit,Workplace,Residential,State
0,Autauga County,-37%,+16%,-14%,,-30%,+20%,Alabama
1,Baldwin County,-44%,-10%,-42%,-39%,-28%,+11%,Alabama
2,Barbour County,-18%,-20%,,,-31%,,Alabama
3,Bibb County,-42%,-15%,,,-19%,,Alabama
4,Blount County,-20%,+18%,,,-24%,+20%,Alabama
5,Bullock County,-22%,-27%,,,-33%,,Alabama
6,Butler County,-47%,-9%,,-57%,-33%,,Alabama
7,Calhoun County,-40%,+1%,-22%,,-29%,+9%,Alabama
8,Chambers County,-35%,-3%,,-40%,-32%,+15%,Alabama
9,Cherokee County,-41%,-5%,,,-18%,,Alabama
10,Chilton County,-28%,+11%,,-30%,-25%,+17%,Alabama
11,Choctaw County,-13%,-19%,,,-43%,,Alabama
12,Clarke County,-22%,-29%,,,-9%,,Alabama
13,Clay County,-43%,-20%,,,-41%,,Alabama
14,Cleburne County,-35%,-13%,,-42%,-14%,,Alabama
15,Coffee County,-25%,-2%,,,-27%,+18%,Alabama
16,Colbert County,-27%,+11%,-37%,-23%,-21%,+16%,Alabama
17,Conecuh County,-65%,-10%,,-41%,-36%,,Alabama
18,Coosa County,,,,,-44%,,Alabama
19,Covington County,-30%,+6%,,,-20%,+8%,Alabama
20,Crenshaw County,-58%,-10%,,,-33%,,Alabama
21,Cullman County,-39%,+13%,+38%,-33%,-28%,+9%,Alabama
22,Dale County,-32%,+0%,,-39%,-23%,+16%,Alabama
23,Dallas County,-30%,+7%,,,-22%,+5%,Alabama
24,DeKalb County,-43%,+2%,-4%,-33%,-16%,+17%,Alabama
25,Elmore County,-35%,+6%,+49%,,-33%,+21%,Alabama
26,Escambia County,-32%,-7%,,,-28%,+7%,Alabama
27,Etowah County,-42%,+1%,-23%,-37%,-30%,+8%,Alabama
28,Fayette County,-39%,,,,-32%,,Alabama
29,Franklin County,-19%,-15%,,,-21%,+5%,Alabama
30,Geneva County,-42%,+14%,,,-27%,-2%,Alabama
31,Greene County,+11%,-29%,,-47%,-44%,,Alabama
32,Hale County,-41%,-36%,,,-29%,,Alabama
33,Henry County,-49%,-19%,,,-21%,,Alabama
34,Houston County,-45%,-5%,+14%,-35%,-29%,+10%,Alabama
35,Jackson County,-40%,+14%,,,-21%,+18%,Alabama
36,Jefferson County,-45%,+3%,+20%,-35%,-32%,+11%,Alabama
37,Lamar County,-32%,+0%,,,-39%,,Alabama
38,Lauderdale County,-44%,+6%,-15%,,-29%,+8%,Alabama
39,Lawrence County,-41%,-16%,,,-22%,+7%,Alabama
40,Lee County,-49%,-9%,-14%,,-32%,+12%,Alabama
41,Limestone County,-30%,+5%,-1%,,-24%,+10%,Alabama
42,Lowndes County,,,,-42%,-54%,,Alabama
43,Macon County,-46%,-5%,,-54%,-39%,,Alabama
44,Madison County,-46%,-5%,+55%,-37%,-36%,+11%,Alabama
45,Marengo County,-26%,+5%,,,-9%,,Alabama
46,Marion County,-43%,-13%,,,-32%,,Alabama
47,Marshall County,-34%,+7%,+94%,,-28%,+8%,Alabama
48,Mobile County,-35%,+6%,-33%,-36%,-28%,+12%,Alabama
49,Monroe County,-52%,+36%,,,-24%,,Alabama
50,Montgomery County,-43%,-2%,+0%,+4%,-29%,+11%,Alabama
51,Morgan County,-37%,+11%,+49%,-34%,-31%,+9%,Alabama
52,Perry County,-58%,-16%,,,-44%,,Alabama
53,Pickens County,-36%,+9%,,,-36%,,Alabama
54,Pike County,-31%,-20%,,,-34%,+0%,Alabama
55,Randolph County,-45%,-7%,,,-26%,,Alabama
56,Russell County,-30%,+48%,,,-27%,+18%,Alabama
57,Shelby County,-41%,-4%,+56%,,-32%,+12%,Alabama
58,St. Clair County,-30%,+8%,,-34%,-26%,+9%,Alabama
59,Sumter County,-61%,-11%,,,-45%,,Alabama
60,Talladega County,-25%,+11%,+16%,-30%,-26%,+9%,Alabama
61,Tallapoosa County,-33%,+6%,,,-31%,+18%,Alabama
62,Tuscaloosa County,-42%,+5%,-10%,-34%,-35%,+12%,Alabama
63,Walker County,-31%,+7%,,-39%,-15%,+14%,Alabama
64,Washington County,,-16%,,,-36%,,Alabama
65,Wilcox County,-61%,,,,-44%,,Alabama
0,Anchorage,-45%,-4%,+29%,-54%,-40%,+13%,Alaska
1,Sat Apr 11,-59%,,,,-29%,,Alaska
2,Fairbanks North Star,-39%,-10%,,-72%,-33%,+21%,Alaska
3,Kenai Peninsula Borough,-34%,-8%,,,-24%,+14%,Alaska
4,Ketchikan Gateway,-32%,-38%,,,-37%,,Alaska
5,Kodiak Island,-50%,,,,-27%,,Alaska
6,Matanuska-Susitna,-29%,-2%,,,-30%,+9%,Alaska
7,North Slope,,,,,-12%,,Alaska
8,Southeast Fairbanks,,,,,-35%,,Alaska
0,Apache County,-80%,-54%,-59%,-35%,-34%,+16%,Arizona
1,Cochise County,-41%,-18%,-44%,-35%,-34%,+11%,Arizona
2,Coconino County,-65%,-32%,-46%,-42%,-42%,+18%,Arizona
3,Gila County,-26%,+16%,+41%,,-27%,+12%,Arizona
4,Graham County,-29%,+12%,,,-19%,+11%,Arizona
5,Greenlee County,-65%,-13%,,,-37%,,Arizona
6,La Paz County,-62%,-39%,-67%,-51%,-21%,,Arizona
