Unique_ID,date,county,state,fips,cases,deaths,Latitude,Longitude,Total_Hospital_Beds,Total_ICU_Beds,Available_Hospital_Beds,Potentially_Available_Hospital_Beds,Available_ICU_Beds,Potentially_Available_ICU_Beds,Adult_Population,Population_65.,Area_.sqmi.,Population,day_before_index,day_before_cases
Snohomish_Washington,2020-01-21,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-20,NA
Snohomish_Washington,2020-01-22,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-21,NA
Snohomish_Washington,2020-01-23,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-22,1
Cook_Illinois,2020-01-24,Cook,Illinois,17031,1,0,41.84144849,-87.81658794,,,,,NA,,,,946,5150233,2020-01-23,NA
Snohomish_Washington,2020-01-24,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-23,1
Orange_California,2020-01-25,Orange,California,6059,1,0,33.70147516,-117.7645998,,,,,NA,,,,948,3175692,2020-01-24,NA
Cook_Illinois,2020-01-25,Cook,Illinois,17031,1,0,41.84144849,-87.81658794,,,,,NA,,,,946,5150233,2020-01-24,NA
Snohomish_Washington,2020-01-25,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-24,1
Maricopa_Arizona,2020-01-26,Maricopa,Arizona,4013,1,0,33.34835867,-112.4918154,,,,,NA,,,,9224,4485414,2020-01-25,NA
Los Angeles_California,2020-01-26,Los Angeles,California,6037,1,0,34.30828379,-118.2282411,19,492,2,415,6,594,13,043,942,1,679,7,874,162,1,268,093,4060,10039107,2020-01-25,NA
Orange_California,2020-01-26,Orange,California,6059,1,0,33.70147516,-117.7645998,,,,,NA,,,,948,3175692,2020-01-25,NA
Cook_Illinois,2020-01-26,Cook,Illinois,17031,1,0,41.84144849,-87.81658794,,,,,NA,,,,946,5150233,2020-01-25,1
Snohomish_Washington,2020-01-26,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-25,1
Maricopa_Arizona,2020-01-27,Maricopa,Arizona,4013,1,0,33.34835867,-112.4918154,,,,,NA,,,,9224,4485414,2020-01-26,NA
Los Angeles_California,2020-01-27,Los Angeles,California,6037,1,0,34.30828379,-118.2282411,19,492,2,415,6,594,13,043,942,1,679,7,874,162,1,268,093,4060,10039107,2020-01-26,NA
Orange_California,2020-01-27,Orange,California,6059,1,0,33.70147516,-117.7645998,,,,,NA,,,,948,3175692,2020-01-26,1
Cook_Illinois,2020-01-27,Cook,Illinois,17031,1,0,41.84144849,-87.81658794,,,,,NA,,,,946,5150233,2020-01-26,1
Snohomish_Washington,2020-01-27,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-26,1
Maricopa_Arizona,2020-01-28,Maricopa,Arizona,4013,1,0,33.34835867,-112.4918154,,,,,NA,,,,9224,4485414,2020-01-27,1
Los Angeles_California,2020-01-28,Los Angeles,California,6037,1,0,34.30828379,-118.2282411,19,492,2,415,6,594,13,043,942,1,679,7,874,162,1,268,093,4060,10039107,2020-01-27,1
Orange_California,2020-01-28,Orange,California,6059,1,0,33.70147516,-117.7645998,,,,,NA,,,,948,3175692,2020-01-27,1
Cook_Illinois,2020-01-28,Cook,Illinois,17031,1,0,41.84144849,-87.81658794,,,,,NA,,,,946,5150233,2020-01-27,1
Snohomish_Washington,2020-01-28,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-27,1
Maricopa_Arizona,2020-01-29,Maricopa,Arizona,4013,1,0,33.34835867,-112.4918154,,,,,NA,,,,9224,4485414,2020-01-28,1
Los Angeles_California,2020-01-29,Los Angeles,California,6037,1,0,34.30828379,-118.2282411,19,492,2,415,6,594,13,043,942,1,679,7,874,162,1,268,093,4060,10039107,2020-01-28,1
Orange_California,2020-01-29,Orange,California,6059,1,0,33.70147516,-117.7645998,,,,,NA,,,,948,3175692,2020-01-28,1
Cook_Illinois,2020-01-29,Cook,Illinois,17031,1,0,41.84144849,-87.81658794,,,,,NA,,,,946,5150233,2020-01-28,1
Snohomish_Washington,2020-01-29,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-28,1
Maricopa_Arizona,2020-01-30,Maricopa,Arizona,4013,1,0,33.34835867,-112.4918154,,,,,NA,,,,9224,4485414,2020-01-29,1
Los Angeles_California,2020-01-30,Los Angeles,California,6037,1,0,34.30828379,-118.2282411,19,492,2,415,6,594,13,043,942,1,679,7,874,162,1,268,093,4060,10039107,2020-01-29,1
Orange_California,2020-01-30,Orange,California,6059,1,0,33.70147516,-117.7645998,,,,,NA,,,,948,3175692,2020-01-29,1
Cook_Illinois,2020-01-30,Cook,Illinois,17031,2,0,41.84144849,-87.81658794,,,,,NA,,,,946,5150233,2020-01-29,1
Snohomish_Washington,2020-01-30,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-29,1
Maricopa_Arizona,2020-01-31,Maricopa,Arizona,4013,1,0,33.34835867,-112.4918154,,,,,NA,,,,9224,4485414,2020-01-30,1
Los Angeles_California,2020-01-31,Los Angeles,California,6037,1,0,34.30828379,-118.2282411,19,492,2,415,6,594,13,043,942,1,679,7,874,162,1,268,093,4060,10039107,2020-01-30,1
Orange_California,2020-01-31,Orange,California,6059,1,0,33.70147516,-117.7645998,,,,,NA,,,,948,3175692,2020-01-30,1
Santa Clara_California,2020-01-31,Santa Clara,California,6085,1,0,37.23104908,-121.6970462,,,,,NA,,,,1291,1927852,2020-01-30,NA
Cook_Illinois,2020-01-31,Cook,Illinois,17031,2,0,41.84144849,-87.81658794,,,,,NA,,,,946,5150233,2020-01-30,2
Snohomish_Washington,2020-01-31,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-30,1
Maricopa_Arizona,2020-02-01,Maricopa,Arizona,4013,1,0,33.34835867,-112.4918154,,,,,NA,,,,9224,4485414,2020-01-31,1
Los Angeles_California,2020-02-01,Los Angeles,California,6037,1,0,34.30828379,-118.2282411,19,492,2,415,6,594,13,043,942,1,679,7,874,162,1,268,093,4060,10039107,2020-01-31,1
Orange_California,2020-02-01,Orange,California,6059,1,0,33.70147516,-117.7645998,,,,,NA,,,,948,3175692,2020-01-31,1
Santa Clara_California,2020-02-01,Santa Clara,California,6085,1,0,37.23104908,-121.6970462,,,,,NA,,,,1291,1927852,2020-01-31,NA
Cook_Illinois,2020-02-01,Cook,Illinois,17031,2,0,41.84144849,-87.81658794,,,,,NA,,,,946,5150233,2020-01-31,2
Suffolk_Massachusetts,2020-02-01,Suffolk,Massachusetts,25025,1,0,42.3279514,-71.07850442,,,,,NA,,,,58,803907,2020-01-31,NA
Snohomish_Washington,2020-02-01,Snohomish,Washington,53061,1,0,48.04615983,-121.7170703,,,,,NA,,,,2090,822083,2020-01-31,1
Maricopa_Arizona,2020-02-02,Maricopa,Arizona,4013,1,0,33.34835867,-112.4918154,,,,,NA,,,,9224,4485414,2020-02-01,1
Los Angeles_California,2020-02-02,Los Angeles,California,6037,1,0,34.30828379,-118.2282411,19,492,2,415,6,594,13,043,942,1,679,7,874,162,1,268,093,4060,10039107,2020-02-01,1
Orange_California,2020-02-02,Orange,California,6059,1,0,33.70147516,-117.7645998,,,,,NA,,,,948,3175692,2020-02-01,1
San Francisco_California,2020-02-02,San Francisco,California,6075,2,0,37.75215114,-122.4385672,3,776,439,1,139,2,458,203,321,1,272,753,236,390,47,881549,2020-02-01,NA
Santa Clara_California,2020-02-02,Santa Clara,California,6085,2,0,37.23104908,-121.6970462,,,,,NA,,,,1291,1927852,2020-02-01,1
Cook_Illinois,2020-02-02,Cook,Illinois,17031,2,0,41.84144849,-87.81658794,,,,,NA,,,,946,5150233,2020-02-01,2
